seq_id,ko,gene,source,organism_code_or_name,species,taxid,domain,phylum,class,order,family,genus,length,description,system,classification_basis
bfgm|1|K01252|entB|P0ADI4,K01252,entB,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,285,Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: I,enterobactin biosynthesis,gene_symbol_match
bfgm|2|K02014|fhuA|P06971,K02014,fhuA,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,747,Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor),ferrichrome and hydroxamate uptake,gene_symbol_match
bfgm|3|K02014|foxA|E1W8M5,K02014,foxA,uniprot,Salmonella typhimurium (strain SL1344),Salmonella typhimurium (strain SL1344),216597.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,702,Ferrioxamine B receptor,ferrioxamine uptake,gene_symbol_match
bfgm|4|K02014|foxA|P0CL48,K02014,foxA,uniprot,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),99287.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,702,Ferrioxamine B receptor,ferrioxamine uptake,gene_symbol_match
bfgm|5|K02076|fur|P0A033,K02076,fur,uniprot,Staphylococcus aureus (strain N315),Staphylococcus aureus (strain N315),158879.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,136,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|6|K02076|fur|P0C0P4,K02076,fur,uniprot,Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200),176280.0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,139,Ferric uptake regulation protein (Ferric uptake regulator),Fur regulon,gene_symbol_match
bfgm|7|K02192|bfd|P0AE56,K02192,bfd,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,64,Bacterioferritin-associated ferredoxin (Bfd),Bfr-Bfd iron mobilisation,gene_symbol_match
bfgm|8|K02192|bfd|P0A1Z6,K02192,bfd,uniprot,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),99287.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,64,Bacterioferritin-associated ferredoxin,Bfr-Bfd iron mobilisation,gene_symbol_match
bfgm|9|K02192|bfd|Q9HY80,K02192,bfd,uniprot,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),208964.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,73,Bacterioferritin-associated ferredoxin (Bfd),Bfr-Bfd iron mobilisation,gene_symbol_match
bfgm|10|K02217|ftn|Q46106,K02217,ftn,uniprot,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),192222.0,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,167,Bacterial non-heme ferritin (EC 1.16.3.2),DtxR-controlled iron storage,gene_symbol_match
bfgm|11|K02217|ftnA|P0A998,K02217,ftnA,uniprot,Escherichia coli (strain K12),Escherichia coli (strain K12),83333.0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,165,Bacterial non-heme ferritin (EC 1.16.3.2) (Ferritin-1),DtxR-controlled iron storage,gene_symbol_match
